EmployeeID,EmployeeName,EmployeeDepartment
E000001,John Doe,Finance
E000002,Jane Smith,Marketing
E000003,Ella Zhang,Production
E000004,Julia Wu,Marketing
E000005,Mil Huang,Finance
E000006,Alex Wang,Operation
E000007,Lily Zhang,Operation
E000008,Jenson Huang,Administrative
E000009,Alexander McQueen,Administrative
E000010,Judy Levin,Marketing
E000011,Colin Wu,Marketing
E000012,Jimmy Choo,Marketing
E000013,Clair Wu,Marketing
E000014,James Taylor,Finance
E000015,Taylor Swift,Production
E000016,Obama Barack,Design
E000017,Clara Zhang,Design
E000018,Jenny Xie,Design
E000019,Mcdonald Trump,Accounting
E000435,Ivy Wang,Accounting
